"country","sameAsCountry","life_expectancy"
"http://worldbank.org/Country/AGO","http://www.wikidata.org/entity/Q916","61.547"
"http://worldbank.org/Country/AFG","http://www.wikidata.org/entity/Q889","63.673"
"http://worldbank.org/Country/ABW","http://www.wikidata.org/entity/Q21203","75.867"
"http://worldbank.org/Country/ARE","http://www.wikidata.org/entity/Q878","77.256"
"http://worldbank.org/Country/ALB","http://www.wikidata.org/entity/Q222","78.345"
"http://worldbank.org/Country/CIV","http://www.wikidata.org/entity/Q1008","53.582"
"http://worldbank.org/Country/CMR","http://www.wikidata.org/entity/Q1009","58.073"
"http://worldbank.org/Country/COG","http://www.wikidata.org/entity/Q971","64.625"
"http://worldbank.org/Country/COD","http://www.wikidata.org/entity/Q423","71.685"
"http://worldbank.org/Country/KOR","http://www.wikidata.org/entity/Q423","71.685"
"http://worldbank.org/Country/PRK","http://www.wikidata.org/entity/Q423","71.685"
"http://worldbank.org/Country/CHL","http://www.wikidata.org/entity/Q298","79.522"
"http://worldbank.org/Country/COM","http://www.wikidata.org/entity/Q970","63.701"
"http://worldbank.org/Country/CPV","http://www.wikidata.org/entity/Q1011","72.798"
"http://worldbank.org/Country/CUW","http://www.wikidata.org/entity/Q25279","77.87317"
"http://worldbank.org/Country/CUB","http://www.wikidata.org/entity/Q241","79.742"
"http://worldbank.org/Country/CRI","http://www.wikidata.org/entity/Q800","79.831"
"http://worldbank.org/Country/DJI","http://www.wikidata.org/entity/Q977","62.465"
"http://worldbank.org/Country/DMA","http://www.wikidata.org/entity/Q784","76.59756"
"http://worldbank.org/Country/CZE","http://www.wikidata.org/entity/Q213","79.02683"
"http://worldbank.org/Country/CYM","http://www.wikidata.org/entity/Q5785","82.19024"
"http://worldbank.org/Country/CYP","http://www.wikidata.org/entity/Q229","80.508"
"http://worldbank.org/Country/GNB","http://www.wikidata.org/entity/Q1007","57.403"
"http://worldbank.org/Country/GNQ","http://www.wikidata.org/entity/Q983","57.681"
"http://worldbank.org/Country/GTM","http://www.wikidata.org/entity/Q774","73.409"
"http://worldbank.org/Country/GRD","http://www.wikidata.org/entity/Q769","73.659"
"http://worldbank.org/Country/GRC","http://www.wikidata.org/entity/Q41","81.1"
"http://worldbank.org/Country/GUM","http://www.wikidata.org/entity/Q16635","79.575"
"http://worldbank.org/Country/ATG","http://www.wikidata.org/entity/Q781","76.364"
"http://worldbank.org/Country/AZE","http://www.wikidata.org/entity/Q227","72.026"
"http://worldbank.org/Country/ARM","http://www.wikidata.org/entity/Q399","74.618"
"http://worldbank.org/Country/GAB","http://www.wikidata.org/entity/Q1000","66.105"
"http://worldbank.org/Country/GIN","http://www.wikidata.org/entity/Q1006","60.015"
"http://worldbank.org/Country/GMB","http://www.wikidata.org/entity/Q1005","61.193"
"http://worldbank.org/Country/GHA","http://www.wikidata.org/entity/Q117","62.742"
"http://worldbank.org/Country/ERI","http://www.wikidata.org/entity/Q986","65.092"
"http://worldbank.org/Country/EST","http://www.wikidata.org/entity/Q191","77.73659"
"http://worldbank.org/Country/ECU","http://www.wikidata.org/entity/Q736","76.327"
"http://worldbank.org/Country/EGY","http://www.wikidata.org/entity/Q79","71.484"
"http://worldbank.org/Country/SYR","http://www.wikidata.org/entity/Q79","71.484"
"http://worldbank.org/Country/DOM","http://www.wikidata.org/entity/Q786","73.861"
"http://worldbank.org/Country/DZA","http://www.wikidata.org/entity/Q262","76.078"
"http://worldbank.org/Country/KAZ","http://www.wikidata.org/entity/Q232","72.3"
"http://worldbank.org/Country/JAM","http://www.wikidata.org/entity/Q766","75.97"
"http://worldbank.org/Country/KEN","http://www.wikidata.org/entity/Q114","67.032"
