"country","year_exp_WB","date"
"http://worldbank.org/Country/ATG","71.004","1988"
"http://worldbank.org/Country/ATG","71.267","1989"
"http://worldbank.org/Country/ATG","76.617","2016"
"http://worldbank.org/Country/ARM","68.332","1988"
"http://worldbank.org/Country/ARM","68.038","1989"
"http://worldbank.org/Country/ARM","74.64","2016"
"http://worldbank.org/Country/BDI","48.244","1988"
"http://worldbank.org/Country/BDI","48.08","1989"
"http://worldbank.org/Country/BDI","60.528","2016"
"http://worldbank.org/Country/AZE","65.021","1988"
"http://worldbank.org/Country/AZE","64.935","1989"
"http://worldbank.org/Country/AZE","72.493","2016"
"http://worldbank.org/Country/GIN","48.399","1988"
"http://worldbank.org/Country/GIN","49.247","1989"
"http://worldbank.org/Country/GIN","59.598","2015"
"http://worldbank.org/Country/GIN","60.17","2016"
"http://worldbank.org/Country/GMB","51.518","1988"
"http://worldbank.org/Country/GMB","51.892","1989"
"http://worldbank.org/Country/GMB","60.91","2015"
"http://worldbank.org/Country/GMB","61.166","2016"
"http://worldbank.org/Country/GAB","60.633","1988"
"http://worldbank.org/Country/GAB","60.865","1989"
"http://worldbank.org/Country/GAB","65.418","2016"
"http://worldbank.org/Country/GHA","55.717","1988"
"http://worldbank.org/Country/GHA","56.271","1989"
"http://worldbank.org/Country/GHA","62.772","2015"
"http://worldbank.org/Country/GHA","63.124","2016"
"http://worldbank.org/Country/ARE","71.361","1988"
"http://worldbank.org/Country/ARE","71.657","1989"
"http://worldbank.org/Country/ARE","77.47","2016"
"http://worldbank.org/Country/AGO","45.317","1988"
"http://worldbank.org/Country/AGO","45.324","1989"
"http://worldbank.org/Country/AGO","59.925","2016"
"http://worldbank.org/Country/BHR","71.962","1988"
"http://worldbank.org/Country/BHR","72.178","1989"
"http://worldbank.org/Country/BHR","76.899","2016"
"http://worldbank.org/Country/BGD","56.958","1988"
"http://worldbank.org/Country/BGD","57.571","1989"
"http://worldbank.org/Country/BGD","71.785","2016"
"http://worldbank.org/Country/BLZ","71.437","1988"
"http://worldbank.org/Country/HND","65.679","1988"
"http://worldbank.org/Country/BLZ","71.386","1989"
"http://worldbank.org/Country/HND","66.229","1989"
"http://worldbank.org/Country/HND","74.495","2015"
"http://worldbank.org/Country/BLZ","74.219","2016"
"http://worldbank.org/Country/HND","74.701","2016"
"http://worldbank.org/Country/BOL","54.881","1988"
"http://worldbank.org/Country/BOL","55.486","1989"
"http://worldbank.org/Country/BOL","70.626","2016"
"http://worldbank.org/Country/BRN","69.691","1988"
"http://worldbank.org/Country/BRN","69.935","1989"
"http://worldbank.org/Country/BRN","75.45","2016"
"http://worldbank.org/Country/CPV","64.015","1988"
"http://worldbank.org/Country/CPV","64.349","1989"
"http://worldbank.org/Country/CPV","72.347","2016"
"http://worldbank.org/Country/CMR","53.611","1988"
"http://worldbank.org/Country/CMR","53.536","1989"
"http://worldbank.org/Country/CMR","58.063","2016"
"http://worldbank.org/Country/DZA","66.097","1988"
"http://worldbank.org/Country/DZA","66.554","1989"
"http://worldbank.org/Country/DZA","76.298","2016"
"http://worldbank.org/Country/ECU","67.943","1988"
"http://worldbank.org/Country/ECU","68.431","1989"
"http://worldbank.org/Country/ECU","76.365","2016"
"http://worldbank.org/Country/FSM","63.38","1988"
"http://worldbank.org/Country/FSM","63.492","1989"
"http://worldbank.org/Country/FSM","67.471","2016"
"http://worldbank.org/Country/ETH","46.194","1988"
"http://worldbank.org/Country/ETH","46.667","1989"
"http://worldbank.org/Country/ETH","65.482","2016"
"http://worldbank.org/Country/FJI","65.365","1988"
"http://worldbank.org/Country/FJI","65.391","1989"
"http://worldbank.org/Country/FJI","67.175","2016"
"http://worldbank.org/Country/FIN","74.5771","1988"
"http://worldbank.org/Country/FIN","74.7922","1989"
"http://worldbank.org/Country/FIN","81.4293","2016"
"http://worldbank.org/Country/EST","70.6976","1988"
"http://worldbank.org/Country/EST","70.039","1989"
"http://worldbank.org/Country/EST","77.6415","2016"
"http://worldbank.org/Country/ALB","71.843","1988"
"http://worldbank.org/Country/ALB","71.86","1989"
"http://worldbank.org/Country/ALB","78.194","2016"
"http://worldbank.org/Country/AFG","48.93","1988"
"http://worldbank.org/Country/AFG","49.64","1989"
"http://worldbank.org/Country/AFG","63.763","2016"
"http://worldbank.org/Country/ABW","73.378","1988"
"http://worldbank.org/Country/ABW","73.425","1989"
"http://worldbank.org/Country/ABW","75.868","2016"
"http://worldbank.org/Country/BEN","52.372","1988"
"http://worldbank.org/Country/BEN","53.132","1989"
"http://worldbank.org/Country/BEN","60.885","2016"
"http://worldbank.org/Country/BIH","71.461","1988"
"http://worldbank.org/Country/BIH","71.184","1989"
"http://worldbank.org/Country/BIH","76.998","2016"
"http://worldbank.org/Country/BHS","69.496","1988"
"http://worldbank.org/Country/BHS","69.854","1989"
"http://worldbank.org/Country/BHS","73.329","2016"
"http://worldbank.org/Country/BGR","71.6044","1988"
"http://worldbank.org/Country/BGR","71.7224","1989"
"http://worldbank.org/Country/BGR","74.8122","2016"
"http://worldbank.org/Country/BFA","49.545","1988"
"http://worldbank.org/Country/BFA","49.505","1989"
"http://worldbank.org/Country/BFA","60.354","2016"
"http://worldbank.org/Country/BRB","74.372","1988"
"http://worldbank.org/Country/BRB","74.534","1989"
"http://worldbank.org/Country/BRB","78.888","2016"
"http://worldbank.org/Country/BLR","71.3415","1988"
"http://worldbank.org/Country/BLR","71.4829","1989"
"http://worldbank.org/Country/BLR","73.8268","2016"
"http://worldbank.org/Country/CHL","72.872","1988"
"http://worldbank.org/Country/CHL","73.198","1989"
"http://worldbank.org/Country/CHL","79.779","2016"
"http://worldbank.org/Country/CAF","49.624","1988"
"http://worldbank.org/Country/CAF","49.397","1989"
"http://worldbank.org/Country/CAF","51.593","2016"
"http://worldbank.org/Country/CAN","76.9195","1988"
"http://worldbank.org/Country/CAN","77.1195","1989"
"http://worldbank.org/Country/CAN","81.9","2016"
"http://worldbank.org/Country/BWA","60.651","1988"
"http://worldbank.org/Country/BWA","60.016","1989"
"http://worldbank.org/Country/BWA","68.178","2016"
"http://worldbank.org/Country/BTN","51.372","1988"
"http://worldbank.org/Country/BTN","52.122","1989"
"http://worldbank.org/Country/BTN","70.781","2016"
"http://worldbank.org/Country/CIV","53.357","1988"
"http://worldbank.org/Country/CIV","53.35","1989"
"http://worldbank.org/Country/CIV","56.567","2016"
"http://worldbank.org/Country/COM","55.605","1988"
"http://worldbank.org/Country/COM","56.154","1989"
"http://worldbank.org/Country/COM","63.7","2016"
"http://worldbank.org/Country/COD","48.502","1988"
"http://worldbank.org/Country/COD","48.787","1989"
"http://worldbank.org/Country/COD","59.655","2016"
"http://worldbank.org/Country/KOR","70.5488","1988"
"http://worldbank.org/Country/PRK","69.177","1988"
"http://worldbank.org/Country/KOR","71.0488","1989"
"http://worldbank.org/Country/PRK","69.611","1989"
"http://worldbank.org/Country/PRK","70.012","2011"
"http://worldbank.org/Country/COG","55.119","1988"
"http://worldbank.org/Country/COG","54.917","1989"
"http://worldbank.org/Country/COG","63.556","2016"
"http://worldbank.org/Country/CZE","71.6415","1988"
"http://worldbank.org/Country/CZE","71.6756","1989"
"http://worldbank.org/Country/CZE","79.0268","2016"
"http://worldbank.org/Country/CYP","76.231","1988"
"http://worldbank.org/Country/CYP","76.394","1989"
"http://worldbank.org/Country/CYP","80.513","2016"
"http://worldbank.org/Country/CUB","74.607","1988"
"http://worldbank.org/Country/CUB","74.615","1989"
"http://worldbank.org/Country/CUB","78.607","2016"
"http://worldbank.org/Country/DJI","56.271","1988"
"http://worldbank.org/Country/DJI","56.488","1989"
"http://worldbank.org/Country/DJI","65.064","2016"
"http://worldbank.org/Country/CRI","75.243","1988"
"http://worldbank.org/Country/CRI","75.456","1989"
"http://worldbank.org/Country/CRI","79.738","2016"
"http://worldbank.org/Country/DOM","65.822","1988"
"http://worldbank.org/Country/DOM","66.201","1989"
"http://worldbank.org/Country/DOM","73.471","2016"
"http://worldbank.org/Country/EGY","63.662","1988"
"http://worldbank.org/Country/EGY","64.143","1989"
"http://worldbank.org/Country/EGY","71.482","2016"
"http://worldbank.org/Country/ERI","48.841","1988"
"http://worldbank.org/Country/ERI","49.192","1989"
"http://worldbank.org/Country/ERI","65.111","2016"
"http://worldbank.org/Country/GNB","46.481","1988"
"http://worldbank.org/Country/GNB","46.783","1989"
"http://worldbank.org/Country/GNB","56.959","2015"
"http://worldbank.org/Country/GNB","57.328","2016"
"http://worldbank.org/Country/GTM","61.214","1988"
"http://worldbank.org/Country/GTM","61.735","1989"
"http://worldbank.org/Country/GTM","73.25","2015"
"http://worldbank.org/Country/GTM","73.541","2016"
"http://worldbank.org/Country/GRD","69.024","1988"
"http://worldbank.org/Country/GRD","69.292","1989"
"http://worldbank.org/Country/GRD","72.445","2015"
"http://worldbank.org/Country/GRD","72.408","2016"
"http://worldbank.org/Country/GRC","75.8912","1988"
"http://worldbank.org/Country/GRC","76.6878","1989"
"http://worldbank.org/Country/GRC","81.0366","2015"
"http://worldbank.org/Country/GRC","81.3878","2016"
"http://worldbank.org/Country/GNQ","47.981","1988"
"http://worldbank.org/Country/GNQ","48.36","1989"
"http://worldbank.org/Country/GNQ","57.359","2015"
"http://worldbank.org/Country/GNQ","57.713","2016"
"http://worldbank.org/Country/GUM","71.45","1988"
"http://worldbank.org/Country/GUM","71.687","1989"
"http://worldbank.org/Country/GUM","79.144","2015"
"http://worldbank.org/Country/GUM","79.391","2016"
"http://worldbank.org/Country/ITA","76.3707","1988"
"http://worldbank.org/Country/ITA","76.8195","1989"
"http://worldbank.org/Country/ITA","82.5439","2015"
"http://worldbank.org/Country/ITA","83.2439","2016"
"http://worldbank.org/Country/IRL","74.3777","1988"
"http://worldbank.org/Country/IRL","74.5959","1989"
"http://worldbank.org/Country/IRL","81.4537","2015"
"http://worldbank.org/Country/IRL","81.6537","2016"
"http://worldbank.org/Country/ISL","77.0829","1988"
"http://worldbank.org/Country/ISL","78.141","1989"
"http://worldbank.org/Country/ISL","82.4683","2015"
"http://worldbank.org/Country/ISL","82.2049","2016"
"http://worldbank.org/Country/IRQ","64.246","1988"
"http://worldbank.org/Country/IRQ","65.212","1989"
"http://worldbank.org/Country/IRQ","69.929","2015"
"http://worldbank.org/Country/IRQ","70.122","2016"
"http://worldbank.org/Country/IRN","60.516","1988"
"http://worldbank.org/Country/IRN","62.272","1989"
"http://worldbank.org/Country/IRN","75.796","2015"
"http://worldbank.org/Country/IRN","76.047","2016"
"http://worldbank.org/Country/KEN","58.422","1988"
"http://worldbank.org/Country/KEN","57.967","1989"
"http://worldbank.org/Country/KEN","64.798","2015"
"http://worldbank.org/Country/KEN","65.393","2016"
"http://worldbank.org/Country/KGZ","65.8586","1988"
"http://worldbank.org/Country/KGZ","67.9073","1989"
"http://worldbank.org/Country/JOR","69.311","1988"
