"country","year_exp","date","gender"
"http://worldbank.org/Country/ATG","74.905","2007-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","75.078","2008-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","73.327","1999-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","75.247","2009-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","73.541","2000-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","75.412","2010-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","75.574","2011-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","73.752","2001-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","75.733","2012-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","73.957","2002-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","75.892","2013-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","74.158","2003-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","74.354","2004-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","76.207","2015-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","74.544","2005-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","76.364","2016-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","74.727","2006-01-01T00:00:00Z",""
"http://worldbank.org/Country/ATG","76.05","2014-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","71.409","2000-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","73.331","2010-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","73.571","2011-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","73.814","2012-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","72.112","2002-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","74.044","2013-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","72.347","2003-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","74.255","2014-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","72.512","2004-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","74.445","2015-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","72.625","2005-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","72.715","2006-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","74.618","2016-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","72.815","2007-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","72.946","2008-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","70.944","1999-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","71.8","2001-01-01T00:00:00Z",""
"http://worldbank.org/Country/ARM","73.119","2009-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","57.481","2016-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","54.861","2010-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","53.09","2006-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","52.437","2004-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","55.338","2011-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","52.735","2005-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","55.807","2012-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","56.259","2013-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","53.492","2007-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","51.213","1999-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","56.688","2014-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","51.545","2000-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","53.926","2008-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","57.094","2015-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","51.779","2001-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","54.386","2009-01-01T00:00:00Z",""
"http://worldbank.org/Country/BDI","51.977","2002-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","69.269","2006-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","66.763","2000-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","71.921","2015-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","69.774","2007-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","72.026","2016-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","67.054","2001-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","70.238","2008-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","67.391","2002-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","70.646","2009-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","67.791","2003-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","68.75","2005-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","70.987","2010-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","68.249","2004-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","71.8","2014-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","71.478","2012-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","71.26","2011-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","71.656","2013-01-01T00:00:00Z",""
"http://worldbank.org/Country/AZE","66.491","1999-01-01T00:00:00Z",""
"http://worldbank.org/Country/GIN","56.185","2009-01-01T00:00:00Z",""
"http://worldbank.org/Country/GIN","59.419","2015-01-01T00:00:00Z",""
