2328
Tuvalu	low	GDP (current US$)	1.00000
Nauru	low	GDP (current US$)	1.00000
Kiribati	low	GDP (current US$)	1.00000
Marshall Islands	low	GDP (current US$)	1.00000
Palau	low	GDP (current US$)	1.00000
Micronesia Fed. Sts.	low	GDP (current US$)	1.00000
São Tomé and Principe	low	GDP (current US$)	1.00000
Tonga	low	GDP (current US$)	1.00000
Dominica	low	GDP (current US$)	1.00000
American Samoa	low	GDP (current US$)	1.00000
Samoa	low	GDP (current US$)	1.00000
St. Vincent and the Grenadines	low	GDP (current US$)	1.00000
Vanuatu	low	GDP (current US$)	1.00000
St. Kitts and Nevis	low	GDP (current US$)	1.00000
Northern Mariana Islands	low	GDP (current US$)	1.00000
Comoros	low	GDP (current US$)	1.00000
Turks and Caicos Islands	low	GDP (current US$)	1.00000
Grenada	low	GDP (current US$)	1.00000
Guinea-Bissau	low	GDP (current US$)	1.00000
Solomon Islands	low	GDP (current US$)	1.00000
San Marino	low	GDP (current US$)	1.00000
Seychelles	low	GDP (current US$)	1.00000
Antigua and Barbuda	low	GDP (current US$)	1.00000
Gambia The	low	GDP (current US$)	1.00000
Belize	low	GDP (current US$)	1.00000
Cabo Verde	low	GDP (current US$)	1.00000
Timor-Leste	low	GDP (current US$)	1.00000
St. Lucia	low	GDP (current US$)	1.00000
Central African Republic	low	GDP (current US$)	1.00000
Lesotho	low	GDP (current US$)	1.00000
Bhutan	low	GDP (current US$)	1.00000
Burundi	low	GDP (current US$)	1.00000
Greenland	low	GDP (current US$)	1.00000
Curaçao	low	GDP (current US$)	1.00000
Djibouti	low	GDP (current US$)	1.00000
Andorra	low	GDP (current US$)	1.00000
Faroe Islands	low	GDP (current US$)	1.00000
Aruba	low	GDP (current US$)	1.00000
Liberia	low	GDP (current US$)	1.00000
Suriname	low	GDP (current US$)	1.00000
Sierra Leone	low	GDP (current US$)	1.00000
Virgin Islands (U.S.)	low	GDP (current US$)	1.00000
Eswatini	mediumLow	GDP (current US$)	1.00000
Guyana	mediumLow	GDP (current US$)	1.00000
Barbados	mediumLow	GDP (current US$)	1.00000
Fiji	mediumLow	GDP (current US$)	1.00000
Montenegro	mediumLow	GDP (current US$)	1.00000
Maldives	mediumLow	GDP (current US$)	1.00000
Cayman Islands	mediumLow	GDP (current US$)	1.00000
French Polynesia	mediumLow	GDP (current US$)	1.00000
Guam	mediumLow	GDP (current US$)	1.00000
Liechtenstein	mediumLow	GDP (current US$)	1.00000
Somalia	mediumLow	GDP (current US$)	1.00000
Togo	mediumLow	GDP (current US$)	1.00000
Isle of Man	mediumLow	GDP (current US$)	1.00000
Monaco	mediumLow	GDP (current US$)	1.00000
Bermuda	mediumLow	GDP (current US$)	1.00000
Mauritania	mediumLow	GDP (current US$)	1.00000
Tajikistan	mediumLow	GDP (current US$)	1.00000
Kyrgyz Republic	mediumLow	GDP (current US$)	1.00000
New Caledonia	mediumLow	GDP (current US$)	1.00000
Rwanda	mediumLow	GDP (current US$)	1.00000
Malawi	mediumLow	GDP (current US$)	1.00000
Chad	mediumLow	GDP (current US$)	1.00000
Equatorial Guinea	mediumLow	GDP (current US$)	1.00000
